City,Monthly Average pm10,Monthly Average pm2.5,Monthly Average carbon_monoxide,Monthly Average nitrogen_dioxide,Monthly Average sulphur_dioxide,Monthly Average ozone,Monthly Average dust,Monthly Average uv_index,Monthly Average ammonia
The Hague,11.642742156982422 18.907737731933594 12.86196231842041 15.995139122009277 15.354435920715332 12.864583015441895 11.393145561218262 12.591263771057129 19.434722900390625 14.354435920715332 10.890972137451172 12.895295143127441,7.139650344848633 13.582291603088379 8.963440895080566 11.883333206176758 13.382258415222168 15.878055572509766 11.620967864990234 11.331855773925781 15.310277938842773 8.707123756408691 6.470694541931152 6.683870792388916,169.22984313964844 224.7113037109375 174.43280029296875 185.94583129882812 161.877685546875 157.14999389648438 147.08737182617188 182.23655700683594 258.74444580078125 214.59408569335938 199.45416259765625 199.1209716796875,19.51021385192871 30.50558090209961 20.517070770263672 18.626251220703125 18.390457153320312 17.023195266723633 16.713708877563477 22.75873565673828 32.086666107177734 23.69045639038086 20.121944427490234 23.755107879638672,1.6361559629440308 2.7544643878936768 2.0264785289764404 1.6974999904632568 1.438037633895874 1.2177777290344238 1.3052419424057007 1.8767473697662354 3.022083282470703 2.254301071166992 1.8016666173934937 1.9377686977386475,47.66935348510742 40.87202453613281 60.08333206176758 62.58333206176758 62.59811782836914 70.2236099243164 56.86693572998047 53.82258224487305 47.18611145019531 42.44489288330078 43.8569450378418 42.461021423339844,0.10618279874324799 0.0788690447807312 0.09543010592460632 0.09861110895872116 0.05376344174146652 0.17083333432674408 0.09139785170555115 0.16263440251350403 0.5222222208976746 2.033602237701416 0.04444444552063942 0.005376344081014395,0.07741935551166534 0.20372022688388824 0.35336020588874817 0.7556250095367432 1.2530913352966309 1.5558332204818726 1.3638441562652588 1.180443525314331 0.8449305295944214 0.31512096524238586 0.09979166090488434 0.05766129121184349,nan 4.112405300140381 4.264516353607178 4.908194541931152 2.2659945487976074 2.9616665840148926 1.4399194717407227 2.0580644607543945 5.264028072357178 2.1485214233398438 1.6034722328186035 1.1384408473968506
Eindhoven,13.887096405029297 20.131696701049805 13.281452178955078 16.200138092041016 16.040861129760742 12.936527252197266 10.189919471740723 14.257661819458008 18.806528091430664 14.706585884094238 11.3684720993042 12.996101379394531,5.89341402053833 10.197321891784668 7.446774005889893 10.227639198303223 12.031316757202148 14.268750190734863 11.178494453430176 11.432795524597168 13.204028129577637 8.068817138671875 5.77666711807251 8.308736801147461,214.3279571533203 264.3511962890625 200.97715759277344 202.78054809570312 185.3817138671875 177.19166564941406 170.15457153320312 220.69219970703125 274.93194580078125 238.502685546875 234.13333129882812 224.56719970703125,20.04099464416504 27.48177146911621 17.97459602355957 15.905277252197266 15.168144226074219 12.958333015441895 11.327688217163086 17.095430374145508 21.585695266723633 19.10134506225586 18.49333381652832 15.306720733642578,1.6279568672180176 1.7863095998764038 1.180645227432251 1.4959721565246582 0.988575279712677 1.329722285270691 0.9469085931777954 1.1829301118850708 1.6152777671813965 1.9266129732131958 1.2549999952316284 1.0194892883300781,41.35618209838867 38.6101188659668 57.029571533203125 60.9375 61.69758224487305 75.47222137451172 57.85483932495117 55.26612854003906 53.786109924316406 43.02016067504883 40.05555725097656 44.038978576660156,0.24193547666072845 0.1398809552192688 0.12768816947937012 0.10972221940755844 0.10752688348293304 0.20972222089767456 0.11693548411130905 0.2822580635547638 0.9597222208976746 1.9274193048477173 0.03194444626569748 0.01075268816202879,0.07103495299816132 0.19561012089252472 0.3190860152244568 0.7026388645172119 1.1754032373428345 1.5009721517562866 1.1929435729980469 1.0758064985275269 0.8504166603088379 0.329502671957016 0.10083333402872086 0.052419353276491165,nan 7.8855109214782715 9.204569816589355 8.590556144714355 5.733333587646484 6.36138916015625 4.322983741760254 6.755645275115967 8.841805458068848 4.315591335296631 3.8426387310028076 2.837231159210205
Luxembourg,9.768011093139648 16.149553298950195 10.419488906860352 11.876526832580566 11.52647876739502 9.290833473205566 6.615725994110107 9.239112854003906 12.824722290039062 11.303629875183105 7.233888626098633 9.06142520904541,5.4603495597839355 11.250743865966797 7.643951892852783 10.219305038452148 12.4408597946167 14.15333366394043 9.453091621398926 9.93911361694336 10.538888931274414 6.666397571563721 4.069999694824219 6.279300689697266,155.40322875976562 186.38095092773438 146.77149963378906 150.2611083984375 133.9207000732422 129.03054809570312 135.34542846679688 156.69219970703125 183.53334045410156 175.5483856201172 171.2888946533203 176.6263427734375,8.375739097595215 11.846652030944824 6.98844051361084 6.2072224617004395 4.927150726318359 4.039027690887451 3.9067206382751465 5.265994548797607 7.350972652435303 7.345699310302734 7.395833492279053 7.668817520141602,0.8037634491920471 0.9487351179122925 0.6579301357269287 0.590416669845581 0.5865591168403625 0.6302778124809265 0.28306451439857483 0.34139785170555115 0.7424999475479126 0.6442204713821411 0.43861114978790283 0.4651881754398346,48.80644989013672 48.45535659790039 66.03897857666016 66.47222137451172 70.97177124023438 80.57499694824219 62.53628921508789 64.71774291992188 64.31111145019531 53.192203521728516 47.858333587646484 46.005374908447266,0.31854838132858276 0.1741071492433548 0.24193547666072845 0.10138888657093048 0.14650537073612213 0.25833332538604736 0.19489246606826782 0.5322580933570862 1.2319444417953491 2.0846774578094482 0.01944444514811039 0.018817204982042313,0.07553763687610626 0.23861607909202576 0.39932796359062195 0.6679166555404663 1.3177419900894165 1.6602778434753418 1.3316532373428345 1.1563172340393066 1.00041663646698 0.4018145203590393 0.10104166716337204 0.05967742204666138,nan 3.8371212482452393 5.359139919281006 4.973333358764648 2.5466396808624268 2.921388864517212 2.7072579860687256 3.5676076412200928 4.845694541931152 2.356720447540283 1.1927777528762817 0.7169355154037476
Rotterdam,12.486693382263184 20.061161041259766 13.285348892211914 16.296249389648438 16.034408569335938 12.982500076293945 11.21545696258545 13.791532516479492 20.257360458374023 15.357124328613281 11.519861221313477 13.065321922302246,7.139650344848633 13.582291603088379 8.963440895080566 11.883333206176758 13.382258415222168 15.878055572509766 11.620967864990234 11.331855773925781 15.310277938842773 8.707123756408691 6.470694541931152 7.33857536315918,197.66397094726562 253.75892639160156 196.4260711669922 196.29861450195312 176.1263427734375 169.0749969482422 165.18682861328125 206.98924255371094 273.67083740234375 233.59945678710938 223.2597198486328 218.30645751953125,30.27473258972168 39.25141143798828 30.13239288330078 25.09861183166504 24.821775436401367 23.411388397216797 23.899999618530273 32.465187072753906 38.831668853759766 32.256988525390625 28.95250129699707 27.950403213500977,3.0407259464263916 3.5630950927734375 2.514785051345825 1.5972222089767456 1.6056451797485352 1.7011111974716187 2.5303761959075928 2.922714948654175 3.0063891410827637 3.2036290168762207 2.5268056392669678 2.675537586212158,35.8615608215332 31.410715103149414 48.92607498168945 54.766666412353516 54.932796478271484 62.733333587646484 48.872310638427734 42.67876434326172 38.86666488647461 33.41935348510742 34.23055648803711 36.315860748291016,0.12231183052062988 0.0982142835855484 0.11155913770198822 0.09444444626569748 0.0739247277379036 0.1458333283662796 0.10618279874324799 0.1760752648115158 0.5736111402511597 2.1881721019744873 0.04305555671453476 0.008064515888690948,0.07741935551166534 0.20372022688388824 0.35336020588874817 0.7556250095367432 1.2530913352966309 1.5558332204818726 1.3638441562652588 1.180443525314331 0.8449305295944214 0.31512096524238586 0.09979166090488434 0.05766129121184349,nan 6.223295211791992 7.400806903839111 6.969444274902344 3.7325267791748047 4.360138893127441 2.472177505493164 3.593951463699341 6.973055839538574 3.1178762912750244 2.700277805328369 1.8557795286178589
Valencia,12.704569816589355 19.110565185546875 14.004704475402832 14.690139770507812 13.202284812927246 15.37874984741211 25.8815860748291 18.753629684448242 16.430694580078125 14.677285194396973 10.546111106872559 14.063172340393066,6.425403118133545 12.68511962890625 7.4067206382751465 8.595555305480957 10.245698928833008 11.034305572509766 12.231048583984375 10.353494644165039 10.844722747802734 8.700806617736816 4.981249809265137 10.351075172424316,175.09408569335938 188.5907745361328 153.19354248046875 145.38333129882812 138.59811401367188 136.9875030517578 131.85350036621094 150.75537109375 164.90554809570312 157.97579956054688 162.79583740234375 175.4583282470703,18.213306427001953 21.988840103149414 14.988574981689453 14.063611030578613 12.01075267791748 13.476805686950684 11.016531944274902 12.821505546569824 14.513055801391602 14.4341402053833 16.20319366455078 23.93602180480957,3.13077974319458 4.092113018035889 2.735752820968628 2.823472261428833 2.4057796001434326 2.611388921737671 2.295564651489258 2.5563173294067383 2.490833282470703 2.590322494506836 2.7961111068725586 4.929300785064697,43.79570007324219 52.52678680419922 61.56182861328125 71.88194274902344 77.61425018310547 77.72777557373047 75.91263580322266 76.4758071899414 68.67916870117188 61.478492736816406 44.92361068725586 35.315860748291016,0.9798387289047241 1.7127976417541504 0.2271505445241928 0.45694443583488464 1.6209677457809448 2.0986111164093018 11.020161628723145 4.235215187072754 3.8569445610046387 2.158602237701416 0.44305557012557983 0.3978494703769684,0.3469085991382599 0.5311756134033203 1.164919376373291 1.6183332204818726 1.5994623899459839 1.934999942779541 2.0729167461395264 2.0123655796051025 1.302013874053955 0.8719757795333862 0.49125000834465027 0.33736559748649597,nan 1.3285038471221924 3.0354838371276855 1.8854166269302368 1.004435420036316 1.0287500619888306 0.6637096405029297 1.0423387289047241 1.206111192703247 0.9751344323158264 1.141111135482788 1.1948925256729126
Helsinki,8.645967483520508 9.6599702835083 8.645833015441895 9.417638778686523 7.999058723449707 7.230555534362793 6.361289978027344 7.608333587646484 9.374305725097656 5.536155700683594 7.013472557067871 7.946102142333984,6.992204666137695 7.995237827301025 8.935752868652344 18.203611373901367 12.388843536376953 13.572221755981445 8.618548393249512 7.700403213500977 7.706250190734863 3.0732526779174805 2.9379167556762695 4.466801166534424,177.63710021972656 189.8482208251953 172.1774139404297 167.81805419921875 138.01881408691406 140.07638549804688 140.01478576660156 170.9274139404297 187.6458282470703 200.97850036621094 204.9486083984375 221.627685546875,11.71727180480957 12.028645515441895 11.612364768981934 13.913750648498535 11.634408950805664 12.685416221618652 8.043683052062988 10.247042655944824 9.396528244018555 7.231720447540283 12.368887901306152 13.643683433532715,1.6829301118850708 1.6999255418777466 1.4094085693359375 1.5302778482437134 1.0708333253860474 1.0538889169692993 0.5322580933570862 0.7594085931777954 0.7355555295944214 1.1326613426208496 1.7705556154251099 2.2151880264282227,48.969085693359375 56.818450927734375 67.90591430664062 64.01944732666016 68.81585693359375 61.77916717529297 64.49059295654297 67.85618591308594 62.18055725097656 50.309139251708984 44.80555725097656 40.10618209838867,0.0 0.0 0.0 0.12638889253139496 0.0 0.0 0.0 0.060483869165182114 0.36666667461395264 0.059139784425497055 0.0 0.0,0.025134408846497536 0.08943452686071396 0.25120967626571655 0.6940972208976746 1.0805107355117798 1.4181944131851196 1.2114919424057007 0.9247311949729919 0.5381250381469727 0.16028225421905518 0.03548611328005791 0.015927419066429138,nan 0.1868371218442917 0.35940858721733093 0.3380555808544159 0.23508065938949585 0.26972222328186035 0.21720430254936218 0.2727150619029999 0.3529166877269745 0.16357527673244476 0.1783333420753479 0.14986559748649597
Amsterdam,11.758064270019531 18.615474700927734 13.059005737304688 15.40333366394043 14.808198928833008 12.182639122009277 11.046773910522461 13.271371841430664 19.408889770507812 14.305645942687988 10.922082901000977 12.743817329406738,6.706048011779785 11.782588958740234 8.42782211303711 10.404999732971191 11.798253059387207 13.138750076293945 11.742473602294922 11.138172149658203 14.675694465637207 8.731048583984375 6.622777462005615 7.326478481292725,197.0 256.53570556640625 197.38037109375 190.0833282470703 169.00807189941406 161.51527404785156 170.22042846679688 213.28359985351562 277.5722351074219 236.39515686035156 230.4263916015625 220.46237182617188,25.426410675048828 33.733036041259766 25.315322875976562 20.385000228881836 20.312633514404297 18.842777252197266 18.97849464416504 26.131181716918945 31.538055419921875 26.22997283935547 25.26944351196289 22.969085693359375,1.2645161151885986 1.7325148582458496 1.3879032135009766 1.1974999904632568 1.0009409189224243 0.9819444417953491 1.0025538206100464 1.34354829788208 1.8655555248260498 1.4635752439498901 1.368749976158142 1.4787633419036865,40.40994644165039 36.1398811340332 52.78494644165039 59.04722213745117 59.59677505493164 67.30278015136719 52.475807189941406 47.282257080078125 46.03472137451172 37.40322494506836 36.656944274902344 40.6236572265625,0.11827956885099411 0.0758928582072258 0.07661290466785431 0.12083332985639572 0.06854838877916336 0.10694444179534912 0.08736559003591537 0.1827957034111023 0.48472222685813904 1.827957034111023 0.03750000149011612 0.01344086043536663,0.07284945994615555 0.19263392686843872 0.3504704236984253 0.7307639122009277 1.1948925256729126 1.5467361211776733 1.3489247560501099 1.1397849321365356 0.8038194179534912 0.2919354736804962 0.09840277582406998 0.05409946292638779,nan 5.417234897613525 5.916263580322266 5.375833511352539 3.1345431804656982 3.6736111640930176 2.4251344203948975 3.483602285385132 6.601249694824219 3.265591621398926 2.8945834636688232 2.0340054035186768
Vienna,17.397850036621094 18.612499237060547 18.208871841430664 14.24305534362793 11.511962890625 10.321805953979492 7.875671863555908 11.82594108581543 14.885832786560059 16.028764724731445 10.347639083862305 15.40188217163086,9.271236419677734 12.875892639160156 12.30067253112793 11.153471946716309 13.97741985321045 15.239444732666016 12.491532325744629 12.067473411560059 10.050415992736816 8.856183052062988 5.82152795791626 10.419892311096191,244.39381408691406 226.75 217.27957153320312 187.65415954589844 159.0470428466797 156.03334045410156 162.06317138671875 192.2997283935547 218.87222290039062 222.15457153320312 226.73056030273438 284.7164001464844,20.17715072631836 16.761756896972656 17.40470314025879 11.991666793823242 10.262768745422363 10.776110649108887 8.43857479095459 12.606048583984375 16.982776641845703 17.693010330200195 16.631250381469727 18.884275436401367,1.9715725183486938 2.02730655670166 1.7184139490127563 1.0847222805023193 1.0944892168045044 0.7801389098167419 0.5724462270736694 0.7806451320648193 1.3331944942474365 1.2774193286895752 1.0177778005599976 1.2142473459243774,34.94489288330078 48.79464340209961 58.182796478271484 61.09583282470703 65.9731216430664 72.14722442626953 75.48252868652344 73.63306427001953 59.42222213745117 46.709678649902344 38.56805419921875 35.967742919921875,0.33467742800712585 0.162202388048172 0.15591397881507874 0.7875000238418579 0.2540322542190552 0.5597222447395325 0.5389785170555115 1.2795698642730713 1.899999976158142 2.831989288330078 0.0069444444961845875 0.06317204236984253,0.11290322244167328 0.2912946343421936 0.5131048560142517 0.7112499475479126 1.1805778741836548 1.4629861116409302 1.697782278060913 1.3030914068222046 1.0431944131851196 0.49522849917411804 0.18437500298023224 0.12217742204666138,nan 1.6166666746139526 3.7540323734283447 2.8280553817749023 1.6344085931777954 1.9247223138809204 1.8899192810058594 2.110349416732788 2.39430570602417 1.8697580099105835 0.9690278172492981 0.8455644845962524
Munich,13.234542846679688 17.13482093811035 13.794354438781738 12.679861068725586 12.17715072631836 11.697916984558105 8.142204284667969 11.977150917053223 15.72249984741211 15.769085884094238 7.5976386070251465 9.16263484954834,6.035618305206299 12.698958396911621 10.640859603881836 9.88972282409668 14.27647876739502 15.313888549804688 11.731585502624512 10.492338180541992 10.059721946716309 8.773655891418457 4.390277862548828 6.888171672821045,213.96640014648438 231.6949462890625 191.43414306640625 188.14999389648438 172.5013427734375 166.1486053466797 166.43011474609375 198.63307189941406 234.8958282470703 220.34408569335938 208.21249389648438 229.9502716064453,20.032930374145508 22.0308780670166 16.27688217163086 14.382500648498535 12.159811973571777 11.507917404174805 8.591800689697266 12.811156272888184 17.78708267211914 18.211423873901367 16.424028396606445 19.73373794555664,1.9368278980255127 1.9964284896850586 1.2913978099822998 1.1406943798065186 1.10161292552948 1.0409722328186035 0.5595430135726929 0.7620967626571655 1.1865277290344238 1.2590054273605347 0.9608333110809326 1.0740591287612915,38.122310638427734 47.08481979370117 59.603492736816406 60.41388702392578 65.747314453125 76.39861297607422 68.21505737304688 69.73655700683594 61.95277786254883 46.79838562011719 42.73055648803711 41.24059295654297,0.22580644488334656 0.2306547611951828 0.4784946143627167 0.06527777761220932 0.20967741310596466 0.9736111164093018 0.7795698642730713 1.4301074743270874 0.9708333611488342 3.8373656272888184 0.02777777798473835 0.09811828285455704,0.11498656123876572 0.3183779716491699 0.5236559510231018 0.6783333420753479 1.1545698642730713 1.70395827293396 1.6279568672180176 1.3198925256729126 1.1075694561004639 0.5262768864631653 0.17569445073604584 0.10900537669658661,nan 2.869696855545044 4.86962366104126 3.3466668128967285 2.0358870029449463 2.3179166316986084 2.0076613426208496 2.3264784812927246 3.3719444274902344 2.2518818378448486 1.130972146987915 1.0943548679351807
Copenhagen,10.593414306640625 14.240179061889648 12.653898239135742 11.07652759552002 10.34932804107666 9.94083309173584 7.918951988220215 9.274328231811523 14.487221717834473 8.230241775512695 7.039444446563721 8.681988716125488,5.273924827575684 8.329167366027832 8.181720733642578 10.1497220993042 10.060752868652344 13.09749984741211 10.2127685546875 9.525403022766113 10.508193969726562 5.766263484954834 3.7113888263702393 4.666666507720947,182.502685546875 207.5386962890625 191.0725860595703 166.65277099609375 147.85618591308594 163.1999969482422 155.68145751953125 188.7970428466797 223.6972198486328 205.27688598632812 204.4166717529297 211.83871459960938,13.89657211303711 16.003347396850586 14.37714958190918 11.959166526794434 11.137768745422363 14.5897216796875 8.70981216430664 12.435483932495117 14.559027671813965 9.90107536315918 12.619306564331055 11.869085311889648,0.8168010711669922 0.9927827715873718 0.8454301357269287 1.0233333110809326 0.938575267791748 0.7333333492279053 0.48750001192092896 0.5716398358345032 0.9822222590446472 0.6502687931060791 0.8173611164093018 0.9104838967323303,45.372310638427734 50.9226188659668 60.54973220825195 68.28472137451172 72.06989288330078 66.12083435058594 64.14112854003906 62.95026779174805 62.713890075683594 49.22311782836914 43.162498474121094 46.20429992675781,0.07123655825853348 0.0342261902987957 0.0026881720405071974 0.14166666567325592 0.025537634268403053 0.08055555820465088 0.0 0.13306452333927155 0.5569444298744202 0.23655913770198822 0.0 0.0,0.047849465161561966 0.15907737612724304 0.2967069745063782 0.800902783870697 1.3017473220825195 1.5330556631088257 1.2540322542190552 0.9726479053497314 0.7387500405311584 0.22862903773784637 0.07000000029802322 0.03286290541291237,nan 1.1224431991577148 1.9470429420471191 1.1484723091125488 0.8275538086891174 1.0237499475479126 0.8865591287612915 1.024193525314331 1.360277771949768 0.6172043085098267 0.4729166626930237 0.33723118901252747
